v_rid,name,addr,lat,lng,dc_score,status,g_place_id,g_name,g_addr,g_maps_url,g_lat,g_lng,name_sim,dist_m,match_score
yslv0zoQ4Nq7,조쌩커피,경기도 평택시 지산2로 111,37.0812836,127.0604413,25,not_found,ChIJywBN35M5ezURPGvQGAIFeuM,메가커피 평택지산점,경기도 평택시 송북동 970-1,https://maps.google.com/?cid=16391419300332727100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.0803973,127.06423520000001,0.0,350.7,0.05
PoNvmIg02yIp,진정희의커피다락방,서울특별시 강동구 천호대로 1475,37.5466629,127.1719004,25,not_found,,,,,,,0,,0
37ywXHzNi5V9,차우차우토토카페,광주광역시 북구 중문로 75 1층 토토,35.1793397,126.9203579,25,not_found,,,,,,,0,,0
50UjGVog2dLk,카페 1347,대전광역시 서구 원도안로179번길 30-6 1층,36.3195473,127.3424908,25,not_found,ChIJhzWdcrFNZTUR-P3XkwYL-WE,듀플렉스 대전도안본점,대전광역시 서구 원도안로 245 1층,https://maps.google.com/?cid=7059686013758078456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.3252054,127.34594849999999,0.0,701.3,0.0
jE2bB6Va6loN,카페 414,대구광역시 수성구 들안로 414,35.8668656,128.6187845,25,not_found,ChIJIcAGY07jZTURoRSMfaUZcgU,사이커피,대구광역시 수성구 수성동4가 1190-3 사이커피 3층,https://maps.google.com/?cid=392404316101285025&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.8632005,128.6122493,0.0,716.2,0.0
cIEnjs6drOIa,카페 46,"서울특별시 종로구 사직로8길 20 파크팰리스 102동 3,4라인 1층 프레드매스",37.5742396,126.970282,25,not_found,,,,,,,0,,0
s2pokk1tFDXk,카페 공존,서울특별시 영등포구 양평로20길 4-1 1층,37.5375676,126.8955864,25,not_found,ChIJ48n3zY2efDURbA4s_ni9x9g,공쌤,서울특별시 영등포구 영등포로5길 301,https://maps.google.com/?cid=15620662159915880044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5243012,126.8848946,0.0,1750.7,-0.4
NxxXNzMMNYNg,카페 랑,서울특별시 도봉구 마들로 699 1층,37.6726844,127.04636,25,not_found,ChIJkc13huu_fDURYDGsFVouP8Q,무수울,서울특별시 도봉구 도봉로173길 124,https://maps.google.com/?cid=14141072319412187488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.6785474,127.0370894,0.0,1044.4,0.0
duexUaFia4KN,카페 로그,경기 화성시 만세구 남양읍 시청로201번길 11-9 1층,37.1965543,126.8333767,25,not_found,ChIJocCgc3ZRezURWjAbeWKuvdg,커피로운,경기도 화성시 남양읍 시청로45번길 67,https://maps.google.com/?cid=15617830820752601178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.2091813,126.82612429999999,0.0,1544.0,-0.4
WFAeAwYsqNGY,카페 모노클,"서울특별시 강서구 양천로51길 11 1층 101호, 102호",37.5682063,126.8428585,25,not_found,ChIJpYFeYwCdfDURiTzSwFi0Qc8,로스터리 카페 모노컵,서울특별시 강서구 등촌동 633-29 1층,https://maps.google.com/?cid=14934416132622400649&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5527055,126.86604329999999,0.333,2673.4,-0.067
0eFgzO4dtbVE,카페 집사,경기도 안산시 단원구 선부광장1로 166 102호,37.3327433,126.80769,25,not_found,,,,,,,0,,0
fVFgu7XydkLN,카페1온스,서울특별시 양천구 목동중앙본로 67,37.5419527,126.8689676,25,not_found,,,,,,,0,,0
jEHQtkjO93jb,카페가온,경기 김포시 양촌읍 양곡3로 99 상가동 101호,37.6596809,126.6367862,25,not_found,ChIJQ26g-rWHfDURxyiRbNmLARE,태백산,경기도 김포시 양촌읍 양곡3로1번길 26-5,https://maps.google.com/?cid=1225414339567102151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.6536875,126.63127060000001,0.0,824.6,0.0
xO3rKrHKAaeu,카페넘버나인,광주광역시 동구 증심사길30번길 28-1 1층,35.1328374,126.9579071,25,not_found,,,,,,,0,,0
mOcVexGYxR9i,카페마싯따,경기도 이천시 설봉로29번길 31,37.278908,127.435791,25,not_found,ChIJt5ekcwCpZDURqtl9kxJPDU4,힐마당,경기도 이천시 경충대로2697번길 231,https://maps.google.com/?cid=5624238450858121642&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.2756839,127.42333519999998,0.0,1158.9,0.0
NstkGIt0bATa,카페스플릿,인천광역시 부평구 후정로 28-18 1층 카페 스플릿,37.5194424,126.7360443,25,not_found,ChIJJQNO3fx9ezUR4I_jvQHpPts,카페 스물하나,인천광역시 부평구 부평4동 부평문화로65번길,https://maps.google.com/?cid=15798320736552325088&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.4948425,126.72335650000001,0.0,2955.5,-0.4
UHV3wEQ0uiiz,카페포그,충청남도 천안시 동남구 각원사길 38 1층,36.8304553,127.1761063,25,not_found,,,,,,,0,,0
OaEP8vcAVGC9,커맨커피,경기도 파주시 송학1길 11 1층 커맨커피,37.7104757,126.7625895,25,not_found,ChIJc8ODzUiPfDURFG6zYCkSgOU,커피마인 플러스,경기도 파주시 가람로 21번길 51-4,https://maps.google.com/?cid=16537237800629792276&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.736397,126.75199819999999,0.0,3029.1,-0.4
ijt6F7YjcaXY,커피기술,서울특별시 양천구 목동중앙서로 24 지상 1층,37.5325989,126.8665224,25,not_found,,,,,,,0,,0
