place_id,market,name,addr,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJn6j4Xc8ABDQRedinJLK7_lI,HK,Halfway Coffee (Ho Man Tin),"Ho Man Tin, Soares Ave, 4A號地下南邊部份4號A鋪",22.319417899999998,114.1751515,https://maps.google.com/?cid=5980423728988149881&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.4,143,coffee roaster;coffee roastery;specialty coffee roaster,HK_TsimShaTsui
ChIJFR2_c4AFBDQRPg70FA-y4fw,HK,Deer Coffee,西貢市場街25號號地下,22.3795188,114.2715226,https://maps.google.com/?cid=18222041345163529790&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,food,point_of_interest,establishment",OPERATIONAL,4.7,141,咖啡烘焙,HK_SaiKung
ChIJk7KauMcBBDQR-8tc7OBs6ng,HK,Flow,"Shop 3, 195 Tai Nan St, Sham Shui Po",22.3273652,114.1628777,https://maps.google.com/?cid=8712896142395624443&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,3.6,140,coffee roaster;coffee roastery;咖啡烘焙;咖啡烘焙室,HK_MongKok
ChIJnV_21OP_AzQR2hclHK9n4wc,HK,咖啡呀唔該,"1A舖地下, Tung Cheung Building, Second St, Sai Ying Pun",22.286219199999998,114.143529,https://maps.google.com/?cid=568411979767945178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.2,140,咖啡烘焙,HK_SheungWan
ChIJsWRV4SsBBDQRm22Dr1I2yiQ,HK,CACAOLAB,銅鑼灣白沙道20號,22.279058799999998,114.1842775,https://maps.google.com/?cid=2650991059420802459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,3.7,138,咖啡烘焙室,HK_CausewayBay
ChIJ-eHumLsBBDQRikdXrPssMWU,HK,BLTN Coffee,"27 Haven St, So Kon Po",22.2776084,114.1869775,https://maps.google.com/?cid=7291658731129358218&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.5,137,coffee roaster;specialty coffee roaster;咖啡烘焙,HK_CausewayBay
ChIJtQ8vXIH_AzQRuruapEYayJI,HK,天天烘焙 Daily Bread,西環德輔道西332號,22.2873001,114.1386503,https://maps.google.com/?cid=10576732615591246778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bakery,"bakery,food_store,store,point_of_interest,food,establishment",OPERATIONAL,3.6,135,咖啡烘焙室,HK_Central
ChIJQ8fnvmUBBDQRKOtJnEK8Aro,HK,COTI,"90 Hung To Rd, Kwun Tong",22.307656599999998,114.2247865,https://maps.google.com/?cid=13403482435283970856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,3.7,134,coffee roaster,HK_KwunTong
ChIJr4OHd_UBBDQRxnpMbNxwNj8,HK,Sheer Coffee,"Shop 4, G/F, Fook Chi House, 18B Peel St, Central",22.2832231,114.15327789999999,https://maps.google.com/?cid=4554952165143902918&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,132,coffee roaster;specialty coffee roaster,HK_Central
ChIJW-eV16j7AzQRXoslCxoYJn4,HK,The Third - Coffee & Pastries,"71B Kin Tak St, Yuen Long",22.441122699999998,114.0314054,https://maps.google.com/?cid=9089979398029151070&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,pastry_shop,dessert_shop,bakery,confectionery,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.2,128,coffee roastery;specialty coffee roaster,HK_TaiPo
ChIJK7H7mhQBBDQRTaMy3EdgjF4,HK,Coffeelin (Fortress Hill),"228 Electric Rd, North Point",22.2888411,114.1933543,https://maps.google.com/?cid=6812926198057968461&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4,127,coffee roaster;coffee roastery;specialty coffee roaster,HK_CausewayBay
ChIJoRKboG0BBDQRWJn741r8qIk,HK,咖啡空間,"城市花園商場14座1樓95-96號舖, 233號 Electric Rd, North Point",22.2899049,114.193765,https://maps.google.com/?cid=9919455646585690456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.2,127,咖啡烘焙室,HK_CausewayBay
ChIJNZBhawwFBDQRiVewDe546Z0,HK,nn Coffee,"G/F, 47 See Cheung St, Sai Kung",22.3797464,114.2720264,https://maps.google.com/?cid=11378758897355478921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.1,126,咖啡烘焙,HK_SaiKung
ChIJZ9A9C5wBBDQRYHJeLgto3aY,HK,Hillwood 54 Cafe,尖沙咀山林道54-56號地下2B鋪及1樓,22.3027151,114.1746594,https://maps.google.com/?cid=12023880977380962912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.7,125,咖啡烘焙室,HK_TsimShaTsui
ChIJGVuVNnX6AzQRYEXJl9QTCbQ,HK,whoop小確幸 (cafe) 元朗店,元朗馬田路50號朗景臺地下12號舖,22.4417558,114.0245152,https://maps.google.com/?cid=12972922005417968992&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"pastry_shop,dessert_shop,bakery,confectionery,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.4,125,咖啡烘焙;咖啡烘焙室,HK_YuenLong
ChIJj_I2JQsBBDQR6_ucHyxQD-w,HK,Number 9 Coffee,尖東加連威老道96號Shop 9 G/F,22.299483600000002,114.17722450000001,https://maps.google.com/?cid=17009902468040817643&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.4,124,咖啡烘焙,HK_WanChai
ChIJt4RAU6gBBDQRKQTlu2C6L-w,HK,life? coffee and cakes (不定時營業，開門時間參考IG notice📍,"G/F, 25 First St, Sai Ying Pun",22.286552,114.143108,https://maps.google.com/?cid=17019026441488368681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"coffee_stand,pastry_shop,bakery,dessert_shop,confectionery,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,124,咖啡烘焙;咖啡烘焙室,HK_SheungWan
ChIJ24lnKT8IBDQRtPONcY_9n3Y,HK,木馬屋烘焙專門店 wooden horse,"大埔靖遠街25號, Luk Wo Building, 號",22.4488386,114.1650219,https://maps.google.com/?cid=8547829410299769780&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,store,"store,point_of_interest,food,establishment",OPERATIONAL,4.5,124,咖啡烘焙;咖啡烘焙室,HK_TaiPo
ChIJ7_ZLxfIBBDQRvbpvkFLnpuw,HK,On The Hill Coffee Bar (中環),中環荷李活道10號區警署)大館營房大樓舊中地下15號舖,22.2806115,114.1542259,https://maps.google.com/?cid=17052571380881537725&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.2,122,咖啡烘焙室,HK_Central
ChIJC8Wkbpr_AzQRw4rAnp0ceCI,HK,Prisma Coffee Company,"3A Watson Rd, Causeway Bay",22.286763099999998,114.1911181,https://maps.google.com/?cid=2483766657793690307&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,coffee_roastery,bar,food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.1,121,coffee roastery;咖啡烘焙,HK_CausewayBay
ChIJ35QA8sf7AzQRMLob7kgabIc,HK,APRIL COFFEE LAB,"Yuen Long, Yu Wing Path, 11號地下22號鋪",22.4417363,114.02596869999999,https://maps.google.com/?cid=9758203393139784240&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,120,coffee roaster;coffee roastery;specialty coffee roaster;咖啡烘焙,HK_YuenLong
ChIJS-jdL3j3AzQRcvM9cX2xXCM,HK,Good Day Coffee Co.,錦田Good Day Coffee城門新村23A號地舖,22.4400105,114.06608039999999,https://maps.google.com/?cid=2548106641513771890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.7,119,咖啡烘焙,HK_YuenLong
ChIJ9Zwxv8DxAzQR-ESW08IVm5o,HK,Pause It (Yuen Long),"Shop B120, 1/F, 元點1 Long Lok Rd, Yuen Long",22.4450145,114.0350554,https://maps.google.com/?cid=11140522029748733176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant,"restaurant,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.4,119,咖啡烘焙,HK_YuenLong
ChIJY87yyID_AzQR50LqH0EFA-E,HK,Stone Coffee,"Shop P, G/F, 56 Centre St, Sai Ying Pun",22.2855158,114.14215929999999,https://maps.google.com/?cid=16213808860730376935&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.3,119,coffee roaster;coffee roastery;specialty coffee roaster,HK_Central
ChIJb2Ye4RQJBDQRw7-_LB4czKQ,HK,sensory ZERO [ Science Park | RoasterLab ],"G01, 17W Science Park W Ave, Tai Po",22.4267555,114.20876679999999,https://maps.google.com/?cid=11874897233394515907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4,119,coffee roaster,HK_TaiPo
ChIJw2JdTrQBBDQRfD0p3MTxn68,HK,MONO LAB,"7 FLOOR, 31-33 Hollywood Rd, Central",22.2821841,114.1537149,https://maps.google.com/?cid=12655099305743957372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.3,118,coffee roaster,HK_Central
ChIJB33Sk0L7AzQRWpB2677NPSo,HK,客美多咖啡,"G/F, Phase, Plaza, 1 Tuen Shun St, Tuen Mun",22.3925624,113.977525,https://maps.google.com/?cid=3043815143050219610&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,3.3,117,咖啡烘焙,HK_TuenMun
ChIJ2zfUNK0BBDQRlx6ihQc3kg0,HK,Slash Cafe Bar,太子基隆街107號,22.326116199999998,114.1653942,https://maps.google.com/?cid=977904574539112087&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"cocktail_bar,bar,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.3,116,咖啡烘焙室,HK_MongKok
ChIJkV6_bJIBBDQRmK1T0QopKuQ,HK,Tailor,"Shop 201, 204, 2/F, Central Market, 93 Queen's Road Central, Central",22.2843902,114.1556287,https://maps.google.com/?cid=16440998516107750808&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.4,116,咖啡烘焙,HK_Central
ChIJW1s7hFcBBDQRgEcHv3FSDrs,HK,【烘焙DIY】Home.焙小日子灣仔店,灣仔皇后大道東183號合和商場6樓 607-608號鋪,22.2746422,114.1717929,https://maps.google.com/?cid=13478801383256180608&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,dessert_shop,"dessert_shop,confectionery,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,116,咖啡烘焙室,HK_Central
ChIJo9xWTLwFBDQRf1RVWiEaJ2U,HK,米珈琲 珈琲専科,"號 地下, 3 Sai Kung Tai St, Sai Kung",22.380183,114.2708765,https://maps.google.com/?cid=7288823252474221695&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,food,point_of_interest,establishment",OPERATIONAL,3.7,116,咖啡烘焙,HK_SaiKung
