place_id,name,addr,state,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJMTcRZ7VnZIgRQa7OTcD0njU,Barista Parlor W Nashville,"300 12th Ave S, Nashville, TN 37203",Tennessee,36.1532329,-86.7850406,https://maps.google.com/?cid=3863794637106753089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.3,115,coffee roaster;coffee roastery,TN_Nashville
ChIJJdc9xPAhjoARBgc_z4g6_AI,Barrel and Bean Coffee,"17500 Depot St Suite# 122, Morgan Hill, CA 95037",California,37.1306672,-121.6518832,https://maps.google.com/?cid=215111241473918726&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.4,115,coffee roaster,CA_SanJose
ChIJ8Qipmn7RNogRIL0VUbnHSQE,Cherry Blend Coffee Roasters Ltd.,"1003 Cherry Ave NE, Canton, OH 44704",Ohio,40.805881199999995,-81.3687052,https://maps.google.com/?cid=92824866081062176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,point_of_interest,food,establishment",OPERATIONAL,5,115,coffee roaster;coffee roastery,West Virginia
ChIJAWp3jHNzhYARQgg56cYZ6bo,"Moschetti Artisan Roaster (Wholesale, Retail, Cafe and Online Shop)","11 6th St, Vallejo, CA 94590",California,38.0965509,-122.2468002,https://maps.google.com/?cid=13468324502735226946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,wholesaler,supplier,point_of_interest,food,establishment",OPERATIONAL,4.9,115,coffee roaster;coffee roastery;specialty coffee roaster;coffee roasting company,CA_Oakland
ChIJ5zH7ajgRsYkRKt5ME3QX7Eo,Mudhouse Richmond,"418 W Broad St, Richmond, VA 23220",Virginia,37.5483788,-77.4458375,https://maps.google.com/?cid=5398715840617831978&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,115,coffee roaster;specialty coffee roaster,VA_Richmond
ChIJC60OjUCz5YkREVP1ik3RKxk,North Koffee,"7726 Post Rd, North Kingstown, RI 02852",Rhode Island,41.5877485,-71.45754459999999,https://maps.google.com/?cid=1813773405920776977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,115,coffee roaster;coffee roastery,Rhode Island
ChIJz-QkiRKXwoAR2THuSd-xo_Q,The Boy & The Bear - Coffee Roastery,"Inside Litt Concept House, 14918 Ventura Blvd, Sherman Oaks, CA 91403",California,34.1522936,-118.4579889,https://maps.google.com/?cid=17628128939034423769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,115,coffee roastery,CA_LosAngeles
ChIJoQ7yhwwzVU0RSrJVulWj6R0,The Pickle Jar,"4308 N 6th St, Wausau, WI 54403",Wisconsin,45.0024109,-89.6197353,https://maps.google.com/?cid=2155433485267219018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.9,115,coffee roaster;specialty coffee roaster,Wisconsin
ChIJVWXNkUG32YgRix9vpkztA8M,Vice City Bean Brickell,"1111 Brickell Ave Ste 185, Miami, FL 33131",Florida,25.762202499999997,-80.1907026,https://maps.google.com/?cid=14052336175791677323&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,115,coffee roaster;coffee roastery;specialty coffee roaster,FL_Miami
ChIJHxi656vbMYYRnMbpJP_Vfzk,Black Rifle Coffee Company,"1913 E Kentucky Ave, Ruston, LA 71270",Louisiana,32.5515198,-92.612551,https://maps.google.com/?cid=4143265474016822940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,food,point_of_interest,establishment",OPERATIONAL,4.8,114,coffee roastery,Louisiana
