place_id,name,addr,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJeeVOfWo6HGARJug7P7hoHoE,珈琲焙煎工房2+1,〒384-1102 長野県南佐久郡小海町小海 笠原5806,36.0955459,138.5012111,https://maps.google.com/?cid=9303989020738185254&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.1,14,自家焙煎コーヒー;珈琲焙煎,群馬県
ChIJifXmYJ_HODURfWkIKpg6fPU,珈琲紫 Aoshima - coffee murasaki Aoshima,〒889-2162 宮崎県宮崎市青島１丁目１６−１ ＡＮＡホリデイ・インリゾート宮崎 内 「ムラサキスポーツ 宮崎青島店」,31.806171400000004,131.4613459,https://maps.google.com/?cid=17689077861619100029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,coffee_shop,coffee_stand,food_store,wholesaler,store,point_of_interest,food,establishment",OPERATIONAL,4.7,14,珈琲焙煎,宮崎県
ChIJ4RWoHzrzGGARZTGfuuaF610,自家焙煎 tasse coffee,〒155-0033 東京都世田谷区代田２丁目２０−５ ハニハラビル 102,35.6577967,139.66079779999998,https://maps.google.com/?cid=6767650091074269541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,tea_store,coffee_stand,coffee_roastery,cafe,wholesaler,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.5,14,コーヒーロースター;自家焙煎コーヒー;珈琲焙煎,東京都_下北沢
ChIJaXaffwAPVDURTTQiGslSFek,自家焙煎 珈琲屋まるこ,〒703-8203 岡山県岡山市中区国府市場６６３−１,34.6915179,133.9747511,https://maps.google.com/?cid=16795421409028486221&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_stand,"coffee_stand,point_of_interest,establishment",OPERATIONAL,4.6,14,自家焙煎コーヒー;珈琲焙煎,岡山県
ChIJeYjEkKfO9F8RqBBWjfw_Nco,自家焙煎 珈琲館,〒950-0114 新潟県新潟市江南区茗荷谷７１１,37.884656199999995,139.1300239,https://maps.google.com/?cid=14570622523362644136&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,3.8,14,自家焙煎コーヒー;珈琲焙煎,新潟県
ChIJQUx0dQDfAGARTyuaFf3qkpQ,自家焙煎 珈箱,〒546-0043 大阪府大阪市東住吉区駒川３丁目３−５,34.6269189,135.5306319,https://maps.google.com/?cid=10705877636923140943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.9,14,自家焙煎コーヒー,大阪府_天王寺
ChIJF4GefACXGGARs4v7423Icho,自家焙煎 陽の香珈琲,〒343-0025 埼玉県越谷市大沢１丁目１２−１２,35.8980813,139.7827311,https://maps.google.com/?cid=1905805966633044915&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,14,自家焙煎コーヒー;珈琲焙煎,茨城県
ChIJG9K26K-zQTURc0mmrZU5TpM,自家焙煎たみえる珈琲店／貸本 利 文庫,〒830-0412 福岡県三潴郡大木町侍島２７５−１,33.2094564,130.4540691,https://maps.google.com/?cid=10614484686785104243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,14,自家焙煎コーヒー;珈琲焙煎,佐賀県
ChIJY5K21wCJGGARza-pyuNJ0oI,自家焙煎コーヒー 珈琲ハウスK2,〒132-0035 東京都江戸川区平井３丁目２５−２ トウヤマビル 101,35.7052962,139.8428635,https://maps.google.com/?cid=9426678212746391501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.3,14,自家焙煎コーヒー,東京都_清澄白河
ChIJVVUsaAzS-V8RSBkKYjsUJNo,自家焙煎工房ひだまり,〒920-0266 石川県河北郡内灘町大根布と−２０２,36.6495132,136.6394679,https://maps.google.com/?cid=15718710844710328648&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.1,14,自家焙煎コーヒー;珈琲焙煎,石川県
