place_id,country,name,addr,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJ2YGYLmiZk2sR9lFYgZpP7-U,AU,Groundskeeper Willie Coffee Roasters,"1 Allen St, Moffat Beach QLD 4551",-26.792261099999997,153.1350089,https://maps.google.com/?cid=16568549079132951030&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,cafe,food_store,store,wholesaler,point_of_interest,food,establishment",OPERATIONAL,5,161,coffee roaster;coffee roastery;specialty coffee roaster,SunshineCoast
ChIJr0b-NM-vEmsRE-8m7PVGr4s,AU,Toby's Estate Coffee 388,"388 George St, Sydney NSW 2000",-33.8683127,151.2073728,https://maps.google.com/?cid=10065341714239254291&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.2,160,coffee roaster,Sydney
ChIJk45YSvlbkWsRbqDa87BmD0I,AU,Coffee Mentality Roastery - Woolloongabba,"43 Balaclava St, Woolloongabba QLD 4102",-27.4905539,153.0382874,https://maps.google.com/?cid=4760136241345372270&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,coffee_roastery,educational_institution,wholesaler,food_store,store,food,point_of_interest,establishment",OPERATIONAL,4.8,159,coffee roaster;coffee roastery;specialty coffee roaster,Brisbane
ChIJNbSU8PFo1moR1Oqn8dfOCA0,AU,Johnny's Coffee Roasters,"159 Ormond Rd, Elwood VIC 3184",-37.886154999999995,144.989169,https://maps.google.com/?cid=939227949174352596&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,cafe,point_of_interest,food,establishment",OPERATIONAL,4.3,158,coffee roaster;coffee roastery,Melbourne_South
ChIJt4-Zb2ZNFmsRDwFMFhjMRcw,AU,The Bearded Bean,"2/21 Genge St, Canberra ACT 2601",-35.27704,149.13197,https://maps.google.com/?cid=14719395360955695375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,157,coffee roaster;coffee roastery,Canberra
ChIJXaBru22ek2sRs0LO1w1ylLc,AU,Kai Coffee Espresso Bar & Roastery,"Technology Dr, Warana QLD 4575",-26.726345,153.1226654,https://maps.google.com/?cid=13228323409274749619&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,coffee_shop,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,155,coffee roaster;coffee roastery;specialty coffee roaster,SunshineCoast
ChIJ4Rc56iBleGkROAJY11KiZzA,AU,Teddy Espresso,"10/120 Collins Ave, Edge Hill QLD 4870",-16.900067,145.74427599999999,https://maps.google.com/?cid=3487934913105625656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,155,coffee roaster,Cairns
ChIJMegA74sDkWsRFbLKT-cEefI,AU,Espresso 79,"1/9 Inventory Ct, Arundel QLD 4214",-27.9355272,153.37444,https://maps.google.com/?cid=17472001620883190293&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_stand,cafe,coffee_roastery,supplier,wholesaler,food_store,store,food,point_of_interest,establishment",OPERATIONAL,5,153,coffee roaster;coffee roastery,GoldCoast
ChIJu8iveCtd1moRf1RMo6LfaZA,AU,First Love Coffee Collins St,"Tenancy 4/433 Collins St, Melbourne VIC 3000",-37.8176949,144.9597455,https://maps.google.com/?cid=10406094303633626239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.4,153,coffee roastery,Melbourne
ChIJoZfDJBlbkWsR3I0EHj65LyI,AU,Foster & Black Specialty Coffee Uptown,"Level E/91 Queen St, Brisbane City QLD 4000",-27.4701095,153.0249266,https://maps.google.com/?cid=2463391197637676508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.3,153,coffee roastery,Brisbane
ChIJ40OjBMhC1moRYVHmVCxPjDM,AU,Axil Coffee Roasters Flinders Lane,"76 Flinders Ln, Melbourne VIC 3000",-37.815021,144.971596,https://maps.google.com/?cid=3714430844495352161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,coffee_shop,food_store,store,food,point_of_interest,establishment",OPERATIONAL,4.4,152,coffee roaster;coffee roastery,Melbourne
ChIJrXTBcqSxEmsRrrsTnqOaAiU,AU,Deluca Coffee,"5-7 Denby St, Marrickville NSW 2204",-33.9038507,151.16559669999998,https://maps.google.com/?cid=2666863956879195054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,152,specialty coffee roaster;coffee roastery,Sydney
ChIJ4Tl8H1jPsGoRX7eQY6mcSkE,AU,Cirelli Coffee Roasting Co,"568 Port Rd, Allenby Gardens SA 5009",-34.8941892,138.5541761,https://maps.google.com/?cid=4704745012075738975&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,coffee_roastery,coffee_shop,dessert_restaurant,sandwich_shop,juice_shop,buffet_restaurant,event_venue,food_store,store,wholesaler,supplier,service,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.8,151,coffee roaster;coffee roastery,Adelaide
ChIJ0cLKLiVo1moRApTXKB5I_jM,AU,Niccolo Coffee,"57-59 Stephenson St, Cremorne VIC 3121",-37.8291294,144.9936003,https://maps.google.com/?cid=3746511234390266882&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,cafe,food_store,store,wholesaler,point_of_interest,food,establishment",OPERATIONAL,4.9,151,specialty coffee roaster,Melbourne
