v_rid,name,addr,lat,lng,dc_score,status,g_place_id,g_name,g_addr,g_maps_url,g_lat,g_lng,name_sim,dist_m,match_score
xsOtupDFpkeG,Cafe X CISO,경기도 구리시 한다리길 76 2.3.4층,37.5835876,127.1233619,61,maybe,ChIJE4eDMAe7fDURub23N0sOoHs,카페시소,경기도 구리시 한다리길 76 KR,https://maps.google.com/?cid=8908135779158965689&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5836793,127.12332319999999,0.0,10.8,0.25
YE228IpPisps,cafe ONO,서울특별시 성북구 화랑로42길 52-8 1층 CAFE ONO,37.6138132,127.0645852,61,maybe,ChIJvU3chb67fDURQc7MrvhlNqE,카페오엔오,서울특별시 성북구 석관동 번지 1층 168-59,https://maps.google.com/?cid=11616584407607725633&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.613786,127.06454629999999,0.0,4.6,0.25
7uxncUwJAX0V,pinxit roasters,경기 김포시 통진읍 율마로438번길 51 상가 1층 103호,37.6880786,126.6058482,61,maybe,ChIJQTnr7oR9fDURH6Of20icjOg,핀시트,경기도 김포시 통진읍 율마로438번길 51 상가 1층 103호 핀시트,https://maps.google.com/?cid=16756940150275023647&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.6880725,126.60588000000001,0.0,2.9,0.25
q4Kk36JIYYJd,뉴올드커피,세종특별자치시 한누리대로 2150 스마트허브 I 116호,36.4785749,127.2871332,61,maybe,ChIJiQpWmU_LejURx6ieZfcGxnU,커스텀커피 세종시청점,세종특별자치시 금남면 대평리 553-9,https://maps.google.com/?cid=8486478207457863879&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.4785944,127.28728989999999,0.0,14.2,0.25
esdI3lO0Kuk8,베러 로스팅랩,서울특별시 성동구 왕십리로6길 18-1 1층,37.5457054,127.0466216,61,maybe,ChIJo3Jc5XqlfDURdUAiLoQV6KQ,BETTER Roasting Lab & Showroom,서울특별시 성동구 성수1가제1동 656-671,https://maps.google.com/?cid=11882771274270916725&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5456698,127.0466206,0.0,4.0,0.25
hcYxwp2UGrH3,스캠프커피,대전광역시 유성구 죽동로279번길 63-4 101호,36.3717684,127.3399384,61,maybe,ChIJY2sqdWFLZTURIO6-2dwsNCU,스윗투스(SWEETTOOTH),대전광역시 유성구 죽동 로279번길 69 카페 스윗투스 1층,https://maps.google.com/?cid=2680817005249883680&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.3720018,127.34004869999998,0.0,27.8,0.25
8ELQcltRR7li,엉클제이2호점,전라남도 고흥군 고흥읍 터미널길 10 엉클제이2호점,34.6062485,127.2814549,61,maybe,ChIJ3wFhT2h1cjURLodSTnLOrGI,엉클제이커피 본점,전라남도 고흥군 고흥읍 홍교길 19,https://maps.google.com/?cid=7110284902046795566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,34.6092581,127.2840622,0.375,411.0,0.425
hIMG8zvYaHCS,엑시트커피,경기도 용인시 수지구 문인로31번길 3-9 1층 엑시트커피,37.3328879,127.0999032,61,maybe,ChIJJ2anjxBZezURp_57ixqXCi8,Exit coffee,"3-9 Munin-ro 31beon-gil, 수지구 용인시 경기도",https://maps.google.com/?cid=3389687809814822567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.3329198,127.0998693,0.0,4.6,0.25
MxBL8XXOATFg,이오커피,대구광역시 수성구 지범로 157 1층,35.8229299,128.6373224,61,maybe,ChIJ5ST8SMPiZTURcJG__YB-Mtc,이오커피,대구광역시 수성구 파동 286 1번지,https://maps.google.com/?cid=15506595559468142960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.8117288,128.6220237,1.0,1858.5,0.6
Ttmo0JFospwN,카페오핸,경기도 남양주시 두물로39번길 35 1층 (별내동),37.6589993,127.1276924,61,maybe,ChIJgVPf2oe3fDUR_UUyZadH1m4,별내 카페거리,경기도 남양주시 별내동 67-9,https://maps.google.com/?cid=7986649773471057405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.6588267,127.1277286,0.0,19.5,0.25
